mint_number,NRI,Collection Rank,hand,shirt,head,waist,foot,pants,underwear,accessory,hand_probability,shirt_probability,head_probability,waist_probability,foot_probability,pants_probability,underwear_probability,accessory_probability,total_probability
1720,0.8030246219222597,1576,Key,Old Bandeau Top,Visor,Belt,Flip Flops,Retro Yoga Pants,1980s Boxers,Victorian Bracelet,0.01949756280464942,0.005749281339832521,0.016497937757780277,0.1078615173103362,0.023747031621047368,0.00024996875390576176,0.0007499062617172854,0.00024996875390576176,2.2196159468470193e-19
1721,0.2642169728783902,5887,TV Controller,Shawl,Equestrian Helm,Fish Belt,Brogues,2021 Cargo Pants,Boxer Briefs,Aviator Sunglasses,0.018872640919885015,0.015748031496062992,0.015873015873015872,0.049868766404199474,0.01849768778902637,0.00024996875390576176,0.05199350081239845,0.012498437695288089,7.068951263676985e-16
1722,0.07624046994125733,7391,Wine Glass,1960s Bowling Shirt,Bald Cap,Jeweled Belt,Ice Skates,Chaps,Garter,Ascot,0.020122484689413824,0.006749156355455568,0.013748281464816898,0.05486814148231471,0.01674790651168604,0.024246969128858892,0.0536182977127859,0.011748531433570804,2.6206821585546046e-14
1723,0.32670916135483064,5387,Banjo,Second Hand Robe,Turban,Fanny Pack,Moccasins,Swim Trunks,Thong,1980s Neck Tie,0.01687289088863892,0.004624421947256593,0.017747781527309086,0.05199350081239845,0.022622172228471443,0.024496937882764653,0.045744281964754406,0.00012498437695288088,2.281280750540102e-16
1724,0.5661792275965505,3471,Waifu Pillow,"""Goth"" Brand New Fishnet Shirt (Hip) 🔥",Balaclava,1960s Jeweled Belt,Derby Shoes,Skort,String Bikini,Casio Watch,0.0196225471816023,0.00012498437695288088,0.010998625171853519,0.000999875015623047,0.02124734408198975,0.025871766029246346,0.05486814148231471,0.01262342207224097,1.0268885445980985e-17
1725,0.8160229971253593,1472,Retro Microphone,1970s Waist Coat,1920s Equestrian Helm,Fanny Pack,Brogues,Cargo Shorts,Granny Panties,Futuristic Neck Pillow,0.00024996875390576176,0.004124484439445069,0.00024996875390576176,0.05199350081239845,0.01849768778902637,0.02687164104486939,0.05199350081239845,0.0004999375078115235,1.7312771449194412e-19
1726,0.6460442444694413,2832,"""Plaid"" 1990s Dog Leash (Clean) 🔥",Smoking Jacket,Bald Cap,Jeweled Belt,Cleats,"""Colorful"" Used Track Pants (Knockoff) 🔥",Trunks,Crossbody Bag,0.00012498437695288088,0.021622297212848394,0.013748281464816898,0.05486814148231471,0.02087239095113111,0.00012498437695288088,0.044119485064366956,0.013498312710911136,3.1671167801315428e-18
1727,0.09386326709161352,7250,Video Game Console,Body Paint,Turban,Fanny Pack,Brand New Fins,Trousers,Midway Briefs,Smart Watch,0.019997500312460944,0.017622797150356206,0.017747781527309086,0.05199350081239845,0.000999875015623047,0.02799650043744532,0.04361954755655543,0.013873265841769778,5.508749424114148e-15
1728,0.04111986001749779,7672,Golf Club,Puffer Jacket,Balaclava,Jeweled Belt,Ski Boots,Cutoff Pants,Garter,Shades,0.020247469066366704,0.01524809398825147,0.010998625171853519,0.05486814148231471,0.023122109736282963,0.02662167229096363,0.0536182977127859,0.011998500187476566,7.378154265586588e-14
1729,0.2809648793900762,5753,Purse,Hoodie,Equestrian Helm,Retro Fanny Pack,Snow Boots,Skirt,Boxers,Ear Buds,0.01862267216597925,0.01799775028121485,0.015873015873015872,0.0004999375078115235,0.015873015873015872,0.026246719160104987,0.04611923509561305,0.011373578302712161,5.812314206544382e-16
1730,0.6544181977252843,2765,Banjo,Rain Coat,Pith Helmet,5yr Old Jeweled Belt,1800s Cowboy Boots,Yoga Pants,String Bikini,1960s Backpack,0.01687289088863892,0.016622922134733157,0.01799775028121485,0.0008748906386701663,0.0013748281464816899,0.031996000499937505,0.05486814148231471,0.00024996875390576176,2.664519756119541e-18
1731,0.9773778277715286,181,Beer Mug,Dinner Jacket,Medieval Turban,Second Hand Suspenders,Aged Linen Shoes,Old Leggings,Granny Panties,"""Steampunk"" Second Hand Portfolio Bag (Knockoff) 🔥",0.01949756280464942,0.015873015873015872,0.0003749531308586427,0.0007499062617172854,0.001249843769528809,0.0003749531308586427,0.05199350081239845,0.00012498437695288088,2.6500938026437617e-22
1732,0.7065366829146357,2348,Whip,Polo Shirt,1980s Flower Crown,Jeweled Belt,1970s Ski Boots,"""Goth"" Second Hand Cargo Pants (Chic) 🔥",Panties,Scarf,0.019997500312460944,0.015873015873015872,0.0006249218847644045,0.05486814148231471,0.0013748281464816899,0.00012498437695288088,0.047494063242094736,0.010873640794900637,9.658275720612353e-19
1733,0.037745281839769995,7699,TV Controller,Corset,Equestrian Helm,Suspenders,Hightops,Capri Pants,Jockstrap,Stethoscope,0.018872640919885015,0.016622922134733157,0.015873015873015872,0.05436820397450319,0.023622047244094488,0.025996750406199226,0.03999500062492189,0.011498562679665042,7.645930528982513e-14
1734,0.3245844269466317,5404,Wine Glass,Parka,Pith Helmet,"""Blazing"" Old Jeweled Belt (Synthetic) 🔥",Sandals,Tights,Garter,Necklace,0.020122484689413824,0.014623172103487065,0.01799775028121485,0.00012498437695288088,0.025746781652293462,0.021372328458942633,0.0536182977127859,0.012248468941382326,2.392030788262594e-16
1735,0.07699037620297466,7385,Wand,3yr Old Ring Mail,Turban,Suspenders,Hightops,Tennis Skirt,Thong,3D Glasses,0.01949756280464942,0.0044994375703037125,0.017747781527309086,0.05436820397450319,0.023622047244094488,0.026371703537057867,0.045744281964754406,0.010748656417947757,2.5928317331016376e-14
1736,0.1758530183727034,6594,Beer Mug,Sweater,Flower Crown,Jeweled Belt,Sandals,1970s Tennis Skirt,Bikini,Bow Tie,0.01949756280464942,0.01687289088863892,0.013873265841769778,0.05486814148231471,0.025746781652293462,0.0006249218847644045,0.03812023497062867,0.011373578302712161,1.7469085039369942e-15
1737,0.7919010123734533,1665,Video Game Console,Vest,Space Helmet,Suspenders,"""Checkered"" 1960s Moccasins (Formal) 🔥",Aged Hot Pants,Brand New Midway Briefs,Exclusive Pass,0.019997500312460944,0.017622797150356206,0.013123359580052493,0.05436820397450319,0.00012498437695288088,0.0007499062617172854,0.0008748906386701663,0.013123359580052493,2.7058397814993737e-19
1738,0.39570053743282085,4835,Cane,Trench Coat,2yr Old Headphones,Shoelace Belt,Flip Flops,Cutoff Pants,3yr Old Panties,Festival Wristband,0.021372328458942633,0.015623047119110112,0.0003749531308586427,0.05411823522059742,0.023747031621047368,0.02662167229096363,0.0011248593925759281,0.013123359580052493,6.323042837588199e-17
1739,0.362079740032496,5104,Whip,2yr Old Bra,Turban,Suspenders,Moccasins,Karate Pants,"""Bright Yellow"" Brand New Jockstrap (Cheap) 🔥",Heart Glasses,0.019997500312460944,0.005999250093738283,0.017747781527309086,0.05436820397450319,0.022622172228471443,0.02687164104486939,0.00012498437695288088,0.011498562679665042,1.0113221522148655e-16
1740,0.005999250093738251,7953,Record Player,Sweater,Balaclava,Belt,Derby Shoes,Karate Pants,String Bikini,Pendant,0.01937257842769654,0.01687289088863892,0.010998625171853519,0.1078615173103362,0.02124734408198975,0.02687164104486939,0.05486814148231471,0.01274840644919385,1.5486627220599926e-13
1741,0.16010498687664043,6720,Purse,Vest,Space Helmet,Leather Belt,Rain Boots,Crop Pants,Granny Panties,1980s Atomic Watch,0.01862267216597925,0.017622797150356206,0.013123359580052493,0.05536807899012623,0.021622297212848394,0.030371203599550055,0.05199350081239845,0.00024996875390576176,2.0352602288331164e-15
1742,0.31046119235095615,5517,Banjo,Trench Coat,Headphones,Suspenders,Wedge,Shorts,Retro Midway Briefs,Nerd Glasses,0.01687289088863892,0.015623047119110112,0.012123484564429446,0.05436820397450319,0.023372078490188727,0.030246219222597175,0.00024996875390576176,0.011373578302712161,3.4920380719025346e-16
1743,0.4803149606299213,4158,2yr Old Spoon,Bra,Turban,Rope,Rain Boots,Bell Bottoms,2021 String Bikini,Amulet,0.0003749531308586427,0.017372828396450445,0.017747781527309086,0.05861767279090114,0.021622297212848394,0.02674665666791651,0.0006249218847644045,0.010748656417947757,2.6325183726116533e-17
1744,0.9991251093613298,7,Vintage Tennis Racket,"""Psychedelic"" Aged Sweater (Clean) 🔥",Balaclava,Leather Belt,1980s Wedge,"""Blood Red"" Second Hand Cargo Pants (Designer) 🔥",1800s Garter,Vintage VR Goggles,0.0003749531308586427,0.00012498437695288088,0.010998625171853519,0.05536807899012623,0.0006249218847644045,0.00012498437695288088,0.0006249218847644045,0.00024996875390576176,3.481957726421916e-25
1745,0.4383202099737533,4494,Waifu Pillow,Overcoat,Space Helmet,Chrome Belt,Aged Fins,Capri Pants,Old Boxers,Tennis Bag,0.0196225471816023,0.015748031496062992,0.013123359580052493,0.05061867266591676,0.0011248593925759281,0.025996750406199226,0.0006249218847644045,0.010498687664041995,3.938360720621495e-17
1746,0.14723159605049374,6823,Megaphone,Trench Coat,Doo Rag,Belt,Ski Boots,Dress Pants,Granny Panties,Old Neck Pillow,0.01837270341207349,0.015623047119110112,0.010123734533183352,0.1078615173103362,0.023122109736282963,0.024996875390576177,0.05199350081239845,0.00024996875390576176,2.354474815679142e-15
1747,0.4316960379952506,4547,Trumpet,1970s Button Up,2021 Turban,Chrome Belt,Linen Shoes,Brand New Sweat Pants,Garter,Engagement Ring,0.01937257842769654,0.006124234470691163,0.0011248593925759281,0.05061867266591676,0.022122234720659918,0.0004999375078115235,0.0536182977127859,0.010498687664041995,4.205726079521436e-17
1748,0.36520434945631797,5079,Pocket Watch,Sweater,Worn Out Flower Crown,Fish Belt,Ski Boots,Swim Trunks,1950s Panties,Ski Goggle,0.02074740657417823,0.01687289088863892,0.0007499062617172854,0.049868766404199474,0.023122109736282963,0.024496937882764653,0.0011248593925759281,0.011498562679665042,9.591134380048816e-17
1749,0.9860017497812773,112,Retro Video Game Console,Overcoat,Victorian Space Helmet,Jeweled Belt,Studded Boots,Brand New Tights,"""Bright Yellow"" 2021 Jockstrap (Fake) 🔥",Second Hand Heart Glasses,0.0004999375078115235,0.015748031496062992,0.0003749531308586427,0.05486814148231471,0.023747031621047368,0.0007499062617172854,0.00012498437695288088,0.00024996875390576176,9.011498092936757e-23
1750,0.24834395700537437,6014,Cane,Vintage Trench Coat,1950s Doo Rag,Bat Belt,Cowboy Boots,Track Pants,Boxers,Pendant,0.021372328458942633,0.00562429696287964,0.0003749531308586427,0.06161729783777028,0.0196225471816023,0.026121734783152106,0.04611923509561305,0.01274840644919385,8.369415160188621e-16
1751,0.8472690913635795,1222,2yr Old Megaphone,"""Glittery"" 1970s Button Up (Casual) 🔥","""Blazing"" 5yr Old Turban (Limited Edition) 🔥",Platinum Belt,Hightops,Cutoff Pants,Boxer Briefs,Wristband,0.00024996875390576176,0.00012498437695288088,0.00012498437695288088,0.051118610173728284,0.023622047244094488,0.02662167229096363,0.05199350081239845,0.013248343957005373,8.646488016315772e-20
1752,0.5485564304461943,3612,1960s Scissors,Tank Top,Flower Crown,Studded Belt,Sandals,Karate Pants,Bikini,"""Cheetah Print"" 1920s Wallet (Trendy) 🔥",0.0003749531308586427,0.013123359580052493,0.013873265841769778,0.05649293838270216,0.025746781652293462,0.02687164104486939,0.03812023497062867,0.00012498437695288088,1.2712276302800808e-17
1753,0.28171478565179353,5747,"""Paisley"" Futuristic Cellphone (Beautiful) 🔥",Cape,Equestrian Helm,Fanny Pack,Loafers,Crop Pants,Midway Briefs,Bow Tie,0.00012498437695288088,0.016372953380827397,0.015873015873015872,0.05199350081239845,0.022622172228471443,0.030371203599550055,0.04361954755655543,0.011373578302712161,5.75659732722787e-16
1754,0.624421947256593,3005,Brand New Dog Leash,Vintage Trench Coat,Bald Cap,Jeweled Belt,1950s Stilletos,Crop Pants,Tighty-whities,Atomic Watch,0.00012498437695288088,0.00562429696287964,0.013748281464816898,0.05486814148231471,0.0007499062617172854,0.030371203599550055,0.03999500062492189,0.009498812648418948,4.5881398861752315e-18
1755,0.8096487939007624,1523,Fidget Spinner,Bra,Turban,"""Leopard Print"" Futuristic Fanny Pack (Collectors Edition) 🔥",1990s Moccasins,Shorts,Trunks,2yr Old Steamer Trunk,0.020372453443319585,0.017372828396450445,0.017747781527309086,0.00012498437695288088,0.0007499062617172854,0.030246219222597175,0.044119485064366956,0.00024996875390576176,1.963848146582907e-19
1756,0.5559305086864141,3553,Golf Club,1990s Tank Top,Balaclava,Vintage Jeweled Belt,Derby Shoes,Yoga Pants,Granny Panties,Medieval Cyclops Glasses,0.020247469066366704,0.005874265716785402,0.010998625171853519,0.000999875015623047,0.02124734408198975,0.031996000499937505,0.05199350081239845,0.00024996875390576176,1.1556959233332759e-17
1757,0.6480439945006874,2816,Waifu Pillow,Cape,Bucket Hat,Fanny Pack,Brogues,"""Floral"" 1920s Cargo Pants (Stylin) 🔥",Garter,"""Floral"" 1970s Engagement Ring (Collectors Edition) 🔥",0.0196225471816023,0.016372953380827397,0.011873515810523684,0.05199350081239845,0.01849768778902637,0.00012498437695288088,0.0536182977127859,0.00012498437695288088,3.0729304312845423e-18
1758,0.4308211473565804,4554,Megaphone,Trench Coat,Bandana,Fanny Pack,Worn Out Cleats,Tennis Skirt,1950s Midway Briefs,Ski Goggle,0.01837270341207349,0.015623047119110112,0.009998750156230472,0.05199350081239845,0.0014998125234345708,0.026371703537057867,0.0006249218847644045,0.011498562679665042,4.2410953360742906e-17
1759,0.31158605174353204,5508,Record Player,2yr Old Bra,Beret,Fish Belt,Rain Boots,Vintage Cargo Shorts,String Bikini,Spectacles,0.01937257842769654,0.005999250093738283,0.011873515810523684,0.049868766404199474,0.021622297212848394,0.0003749531308586427,0.05486814148231471,0.01124859392575928,3.443417329409913e-16
1760,0.5398075240594926,3682,Cat,Tank Top,Motorcycle Helmet,Vintage Fanny Pack,Wedge,1950s Hot Pants,Granny Panties,Kandi Bracelet,0.01799775028121485,0.013123359580052493,0.012248468941382326,0.0008748906386701663,0.023372078490188727,0.0003749531308586427,0.05199350081239845,0.012373453318335208,1.4269643725087084e-17
1761,0.3948256467941508,4842,Scissors,Safari Jacket,Jewelry Headpiece,2yr Old Fish Belt,Jeweled Sandals,Baggy Pants,Garter,1950s Tackle Box,0.016372953380827397,0.016372953380827397,0.016622922134733157,0.0011248593925759281,0.01849768778902637,0.025746781652293462,0.0536182977127859,0.0004999375078115235,6.399245883114422e-17
1762,0.754405699287589,1965,2021 Fidget Spinner,Trench Coat,Sun Hat,2021 Suspenders,High Heel Sandals,Track Pants,Midway Briefs,2021 Feather Boa,0.0006249218847644045,0.015623047119110112,0.014498187726534183,0.0011248593925759281,0.02062242219722535,0.026121734783152106,0.04361954755655543,0.00012498437695288088,4.676080833414759e-19
1763,0.8637670291213598,1090,Used Wrench,Button Up,Vintage Yarmulke,Worn Out Bat Belt,Victorian Moccasins,Trousers,String Bikini,Ski Goggle,0.0003749531308586427,0.01549806274215723,0.0006249218847644045,0.0013748281464816899,0.0006249218847644045,0.02799650043744532,0.05486814148231471,0.011498562679665042,5.510891192429086e-20
1764,0.7404074490688664,2077,Medieval Microphone,Tank Top,1970s Silk Hood,Suspenders,1980s Flip Flops,Cutoff Pants,Tighty-whities,Watch,0.00012498437695288088,0.013123359580052493,0.0004999375078115235,0.05436820397450319,0.000999875015623047,0.02662167229096363,0.03999500062492189,0.011873515810523684,5.635436468749214e-19
1765,0.03687039120109992,7706,Tennis Racket,Safari Jacket,Tiara,Bat Belt,Rain Boots,Skirt,Trunks,Bracelet,0.01937257842769654,0.016372953380827397,0.014873140857392825,0.06161729783777028,0.021622297212848394,0.026246719160104987,0.044119485064366956,0.010623672040994875,7.732176165444121e-14
1766,0.19047619047619047,6477,Trumpet,Trench Coat,Towel,2021 Rope,Slides,Capri Pants,Boxers,Hat Bag,0.01937257842769654,0.015623047119110112,0.016122984626921636,0.0008748906386701663,0.024621922259717537,0.025996750406199226,0.04611923509561305,0.012248468941382326,1.5436800843808129e-15
1767,0.918135233095863,655,1800s Umbrella,1970s Button Up,"""Leopard Print"" Vintage Crown (Formal) 🔥",Shoelace Belt,Fins,"""Pinstripe"" 2021 Sweat Pants (Hip) 🔥",Boxer Briefs,Hoops,0.00012498437695288088,0.006124234470691163,0.00012498437695288088,0.05411823522059742,0.01974753155855518,0.00012498437695288088,0.05199350081239845,0.011498562679665042,7.639554932127077e-21
1768,0.382952130983627,4937,Aged Yo-yo,Polo Shirt,Cheese Head,Rope,Shoes,Sweat Pants,Used Tighty-whities,Smart Watch,0.0004999375078115235,0.015873015873015872,0.017747781527309086,0.05861767279090114,0.021622297212848394,0.02949631296087989,0.000999875015623047,0.013873265841769778,7.30368119427252e-17
1769,0.7784026996625422,1773,Fidget Spinner,Overcoat,Brand New Space Helmet,Shoelace Belt,"""Aesthetic"" 2021 Sneakers (Stylin) 🔥",Skinny Jeans,Victorian Trunks,Guitar Case,0.020372453443319585,0.015748031496062992,0.0006249218847644045,0.05411823522059742,0.00012498437695288088,0.026246719160104987,0.0007499062617172854,0.012248468941382326,3.269328103617291e-19
1770,0.8272715910511186,1382,Golf Club,"""Psychedelic"" Brand New Cardigan (Haute Couture) 🔥",1970s Headphones,Shoelace Belt,Boat shoes,Tights,Used Boxers,Spectacles,0.020247469066366704,0.00012498437695288088,0.0003749531308586427,0.05411823522059742,0.021747281589801274,0.021372328458942633,0.0004999375078115235,0.01124859392575928,1.3422019386941425e-19
1771,0.0684914385701787,7453,TV Controller,1970s Button Up,Turban,Suspenders,Platform Boots,Tennis Skirt,Boxer Briefs,Scrunchie,0.018872640919885015,0.006124234470691163,0.017747781527309086,0.05436820397450319,0.018997625296837895,0.026371703537057867,0.05199350081239845,0.013748281464816898,3.994004266047767e-14
1772,0.5684289463817023,3453,Wine Glass,Bandeau Top,"""Leopard Print"" Retro Balaclava (Casual) 🔥",Belt,Flip Flops,"""Flashing"" Futuristic Tennis Skirt (Custom) 🔥",Granny Panties,Crossbody Bag,0.020122484689413824,0.017747781527309086,0.00012498437695288088,0.1078615173103362,0.023747031621047368,0.00012498437695288088,0.05199350081239845,0.013498312710911136,1.0028628414390624e-17
1773,0.7572803399575053,1942,Worn Out Dog Leash,Shawl,Bowler Hat,Leather Belt,Roller Skates,5yr Old Hot Pants,Garter,Used Backpack,0.00012498437695288088,0.015748031496062992,0.012123484564429446,0.05536807899012623,0.022622172228471443,0.0007499062617172854,0.0536182977127859,0.0003749531308586427,4.506093661183621e-19
1774,0.8656417947756531,1075,1920s Blanket,Shirt,"""Boho"" 1970s Panama Hat (Monogramed) 🔥",Shoelace Belt,Slides,Baggy Pants,"""Steampunk"" 1950s String Bikini (Cute) 🔥",Amulet,0.0004999375078115235,0.01824771903512061,0.00012498437695288088,0.05411823522059742,0.024621922259717537,0.025746781652293462,0.00012498437695288088,0.010748656417947757,5.255069667903327e-20
1775,0.7535308086489189,1972,Wrench,Dinner Jacket,Beret,Suspenders,Dress Shoe,5yr Old Jeans,Brand New Granny Panties,Futuristic Golf Bag,0.01862267216597925,0.015873015873015872,0.011873515810523684,0.05436820397450319,0.023497062867141608,0.0007499062617172854,0.0011248593925759281,0.00012498437695288088,4.727159949081343e-19
1776,0.7490313710786152,2008,Microphone,5yr Old Polo Shirt,Motorcycle Helmet,Belt,Worn Out Shoes,Trousers,1970s Granny Panties,1960s Exclusive Pass,0.015998000249968752,0.004874390701162355,0.012248468941382326,0.1078615173103362,0.0011248593925759281,0.02799650043744532,0.0006249218847644045,0.00024996875390576176,5.068130774410837e-19
1777,0.9776277965254343,179,Worn Out Banjo,"""Forest Green"" Second Hand Corset (Designer) 🔥",Feather Hat,Leather Belt,1920s Studded Boots,5yr Old Cutoff Pants,Aged Garter,Monocle,0.0006249218847644045,0.00012498437695288088,0.012998375203099613,0.05536807899012623,0.0008748906386701663,0.0003749531308586427,0.0011248593925759281,0.01262342207224097,2.618400556108133e-22
1778,0.3587051618547682,5131,Wrench,Cardigan,Bandana,Brand New Belt,Boat shoes,Riding Pants,String Bikini,Aged Casio Watch,0.01862267216597925,0.031996000499937505,0.009998750156230472,0.001249843769528809,0.021747281589801274,0.024496937882764653,0.05486814148231471,0.0004999375078115235,1.0881578230201462e-16
1779,0.33670791151106116,5307,Tennis Racket,Bomber Jacket,1990s Yarmulke,Chrome Belt,5yr Old Socks,Shorts,Granny Panties,Purse,0.01937257842769654,0.01524809398825147,0.0007499062617172854,0.05061867266591676,0.0008748906386701663,0.030246219222597175,0.05199350081239845,0.011623547056617924,1.7932189693198635e-16
1780,0.8732658417697787,1014,1990s Purse,Bandeau Top,Used Silk Hood,Fish Belt,Futuristic Derby Shoes,Leggings,3yr Old Tighty-whities,Necklace,0.0003749531308586427,0.017747781527309086,0.0003749531308586427,0.049868766404199474,0.0007499062617172854,0.0281214848143982,0.001249843769528809,0.012248468941382326,4.017070284566385e-20
1781,0.14610673665791774,6832,Megaphone,Cape,Brand New Cowboy,Jeweled Belt,Roller Skates,Cargo Pants,Trunks,3D Glasses,0.01837270341207349,0.016372953380827397,0.0004999375078115235,0.05486814148231471,0.022622172228471443,0.02712160979877515,0.044119485064366956,0.010748656417947757,2.4008799458912753e-15
1782,0.21959755030621175,6244,Scissors,Aged Shirt,Futuristic Wedding Veil,Belt,Cleats,Shorts,Panties,Bow Tie,0.016372953380827397,0.004999375078115236,0.0003749531308586427,0.1078615173103362,0.02087239095113111,0.030246219222597175,0.047494063242094736,0.011373578302712161,1.128927364530877e-15
1783,0.3827021622297213,4939,3yr Old Cat,1800s Wind Breaker,1990s Crown,Chrome Belt,Linen Shoes,Yoga Pants,Jockstrap,Chain,0.0008748906386701663,0.006374203224596925,0.0008748906386701663,0.05061867266591676,0.022122234720659918,0.031996000499937505,0.03999500062492189,0.010498687664041995,7.340229049032171e-17
1784,0.5999250093738282,3201,1920s Wrench,Turtle Neck,Cheese Head,Fish Belt,Ski Boots,"""Aesthetic"" 1970s Cargo Pants (Designer) 🔥",Tighty-whities,Steamer Trunk,0.0003749531308586427,0.016622922134733157,0.017747781527309086,0.049868766404199474,0.023122109736282963,0.00012498437695288088,0.03999500062492189,0.010623672040994875,6.7736165038240375e-18
1785,0.7546556680414949,1963,Second Hand Trumpet,Safari Jacket,Equestrian Helm,Jeweled Belt,Studded Boots,Aged Dress Pants,Trunks,1800s Heart Glasses,0.0004999375078115235,0.016372953380827397,0.015873015873015872,0.05486814148231471,0.023747031621047368,0.0004999375078115235,0.044119485064366956,0.00012498437695288088,4.666955529240092e-19
1786,0.6074240719910011,3141,5yr Old Wand,Brand New Cardigan,Bald Cap,Jeweled Belt,Cowboy Boots,Swim Trunks,Panties,Old Pendant,0.0004999375078115235,0.005749281339832521,0.013748281464816898,0.05486814148231471,0.0196225471816023,0.024496937882764653,0.047494063242094736,0.00012498437695288088,6.186716074683422e-18
1787,0.4663167104111986,4270,Surf Board,Button Up,Turban,Worn Out Fanny Pack,1960s Moccasins,Skort,Jockstrap,Wristband,0.020372453443319585,0.01549806274215723,0.017747781527309086,0.0006249218847644045,0.0006249218847644045,0.025871766029246346,0.03999500062492189,0.013248343957005373,2.999919965514039e-17
1788,0.6224221972253468,3021,"""Rainbow"" 1920s Tennis Racket (Trendy) 🔥",1920s Cardigan,1970s Balaclava,Jeweled Belt,Derby Shoes,Cargo Shorts,Trunks,Wallet,0.00012498437695288088,0.005124359455068116,0.0004999375078115235,0.05486814148231471,0.02124734408198975,0.02687164104486939,0.044119485064366956,0.010748656417947757,4.756798368866127e-18
1789,0.12760904886889135,6980,Beggar Cup,Hoodie,Equestrian Helm,Fanny Pack,Victorian Brogues,Baggy Pants,Midway Briefs,Antique Watch,0.01849768778902637,0.01799775028121485,0.015873015873015872,0.05199350081239845,0.000999875015623047,0.025746781652293462,0.04361954755655543,0.009623797025371828,2.96920686014837e-15
1790,0.6974128233970753,2421,Record Player,"""Preppy"" Aged Shirt (Trendy) 🔥",Bald Cap,Jeweled Belt,Used Cleats,Yoga Pants,1970s Boxer Briefs,Contact Lenses,0.01937257842769654,0.00012498437695288088,0.013748281464816898,0.05486814148231471,0.001249843769528809,0.031996000499937505,0.0013748281464816899,0.0111236095488064,1.117010864883659e-18
1791,0.07749031371078619,7381,Wand,1980s Dinner Jacket,Turban,Fanny Pack,Fins,Leggings,Jockstrap,Purse,0.01949756280464942,0.005374328208973878,0.017747781527309086,0.05199350081239845,0.01974753155855518,0.0281214848143982,0.03999500062492189,0.011623547056617924,2.4962788527024224e-14
1792,0.6247969003874516,3002,Paintbrush,Turtle Neck,Balaclava,Aged Jeweled Belt,"""Mystic Purple"" 1980s Ski Boots (Knockoff) 🔥",Cargo Pants,String Bikini,Necklace,0.017497812773403325,0.016622922134733157,0.010998625171853519,0.0006249218847644045,0.00012498437695288088,0.02712160979877515,0.05486814148231471,0.012248468941382326,4.554372197598231e-18
1793,0.8400199975003124,1280,Key,Vest,"""Gold"" 5yr Old Jewelry Headpiece (Synthetic) 🔥",1980s Fanny Pack,Snow Boots,Victorian Capri Pants,Granny Panties,Guitar Case,0.01949756280464942,0.017622797150356206,0.00012498437695288088,0.0003749531308586427,0.015873015873015872,0.0006249218847644045,0.05199350081239845,0.012248468941382326,1.0171943379147641e-19
1794,0.11986001749781272,7042,Massager,Cardigan,Sun Hat,Suspenders,Cowboy Boots,Retro Skort,Trunks,Snake,0.01837270341207349,0.031996000499937505,0.014498187726534183,0.05436820397450319,0.0196225471816023,0.0007499062617172854,0.044119485064366956,0.010873640794900637,3.2711107159701643e-15
1795,0.6387951506061742,2890,Cellphone,Bomber Jacket,Yarmulke,3yr Old Bat Belt,Moccasins,"""Shiny"" 1920s Tennis Skirt (Fake) 🔥",Midway Briefs,3D Glasses,0.017747781527309086,0.01524809398825147,0.016122984626921636,0.0006249218847644045,0.022622172228471443,0.00012498437695288088,0.04361954755655543,0.010748656417947757,3.614566169398104e-18
1796,0.34708161479815025,5224,Brand New Guitar,Cardigan,Futuristic Silk Hood,Suspenders,Flip Flops,Cargo Shorts,Bikini,Festival Wristband,0.0004999375078115235,0.031996000499937505,0.0004999375078115235,0.05436820397450319,0.023747031621047368,0.02687164104486939,0.03812023497062867,0.013123359580052493,1.3879577331013318e-16
1797,0.46119235095613054,4311,Retro Yo-yo,Dress,Jewelry Headpiece,Bat Belt,Rain Boots,Hot Pants,Midway Briefs,1800s Festival Wristband,0.0004999375078115235,0.0196225471816023,0.016622922134733157,0.06161729783777028,0.021622297212848394,0.026496687914010747,0.04361954755655543,0.00012498437695288088,3.1384226665150305e-17
1798,0.49493813273340836,4041,Guitar,Shirt,Sun Hat,1960s Suspenders,Slides,Tennis Skirt,Panties,Old Briefcase,0.019997500312460944,0.01824771903512061,0.014498187726534183,0.0011248593925759281,0.024621922259717537,0.026371703537057867,0.047494063242094736,0.00012498437695288088,2.2937783637618236e-17
1799,0.5914260717410323,3269,Video Game Console,Wind Breaker,Aged Yarmulke,"""Glittery"" 2yr Old Bat Belt (Monogramed) 🔥",Rain Boots,Hot Pants,Jockstrap,Pendant,0.019997500312460944,0.0169978752655918,0.0006249218847644045,0.00012498437695288088,0.021622297212848394,0.026496687914010747,0.03999500062492189,0.01274840644919385,7.755447213617342e-18
1800,0.7281589801274841,2175,Cane,Tank Top,Silk Hood,Suspenders,Used Slides,Used Hot Pants,Futuristic G-String,Tennis Bag,0.021372328458942633,0.013123359580052493,0.010998625171853519,0.05436820397450319,0.00024996875390576176,0.0011248593925759281,0.0013748281464816899,0.010498687664041995,6.806873060061223e-19
1801,0.7597800274965629,1922,"""Leopard Print"" Futuristic Book (Cute) 🔥",Cape,2021 Space Helmet,Bat Belt,Fins,1920s Jeans,Granny Panties,Steamer Trunk,0.00012498437695288088,0.016372953380827397,0.0006249218847644045,0.06161729783777028,0.01974753155855518,0.0004999375078115235,0.05199350081239845,0.010623672040994875,4.296980577042696e-19
